Timestamp,Pressure (hPa),Lat,Long,
15:55:00,1011.365509,-6.794087552,39.21942121,
15:55:00,1011.369324,-6.794087552,39.21942121,
15:55:08,1011.403427,-6.795295089,39.21928859,
15:55:09,1011.404572,-6.795306825,39.21928606,
15:55:16,1011.394043,-6.794542448,39.21936292,
15:55:25,1011.390991,-6.794817798,39.21931858,
15:55:26,1011.403503,-6.794621517,39.21935471,
15:55:27,1011.41037,-6.794471514,39.21938986,
15:55:28,1011.417389,-6.794398758,39.21941584,
15:55:29,1011.417389,-6.794315934,39.21943695,
15:55:30,1011.408691,-6.794206935,39.21945123,
15:55:31,1011.396713,-6.794119862,39.21947951,
15:55:32,1011.38916,-6.794075007,39.2194954,
15:55:33,1011.383591,-6.794043578,39.2195053,
15:55:34,1011.378708,-6.7940215,39.21951538,
15:55:35,1011.372452,-6.793994873,39.21952946,
15:55:36,1011.3694,-6.79395748,39.2195308,
15:55:37,1011.366653,-6.793910329,39.21953884,
15:55:38,1011.362915,-6.793887318,39.21954481,
15:55:39,1011.360931,-6.793811392,39.21956027,
15:55:40,1011.360931,-6.793739497,39.21957873,
15:55:41,1011.368484,-6.793660335,39.21960327,
15:55:42,1011.372452,-6.793580303,39.21962002,
15:55:43,1011.373444,-6.793503049,39.21964064,
15:55:44,1011.373444,-6.793437462,39.21965188,
15:55:45,1011.372986,-6.79338346,39.21967873,
15:55:46,1011.365433,-6.793347985,39.21969412,
15:55:47,1011.357727,-6.793304445,39.21970194,
15:55:48,1011.352615,-6.793258497,39.21970508,
15:55:49,1011.340942,-6.793208684,39.21972144,
15:55:50,1011.335678,-6.793137826,39.21973731,
15:55:51,1011.325989,-6.793044469,39.21975668,
15:55:52,1011.312714,-6.792956897,39.21979488,
15:55:53,1011.309814,-6.792875126,39.21981667,
15:55:54,1011.309814,-6.792786834,39.21984307,
15:55:55,1011.314087,-6.792688293,39.21986145,
15:55:56,1011.328735,-6.792591775,39.21988906,
15:55:57,1011.359177,-6.792505301,39.21991381,
15:55:58,1011.39328,-6.792400848,39.21992763,
15:55:59,1011.431808,-6.792300519,39.21994303,
15:56:00,1011.4785,-6.792208183,39.21996888,
15:56:01,1011.530457,-6.792111003,39.21999368,
15:56:02,1011.584396,-6.792008325,39.22001546,
15:56:03,1011.628265,-6.791901212,39.22002733,
15:56:04,1011.662598,-6.791779911,39.22006955,
15:56:05,1011.696625,-6.791668305,39.220095,
15:56:06,1011.727982,-6.791548119,39.22012427,
15:56:07,1011.74469,-6.791429214,39.2201513,
15:56:08,1011.758423,-6.791313277,39.22017983,
15:56:09,1011.774063,-6.79120282,39.22020845,
15:56:10,1011.774063,-6.79110277,39.22024081,
15:56:11,1011.769028,-6.791002849,39.22028279,
15:56:12,1011.761627,-6.790893816,39.2203222,
15:56:13,1011.761627,-6.790780982,39.2203602,
15:56:14,1011.764679,-6.790671104,39.22040083,
15:56:15,1011.766739,-6.790556871,39.22045169,
15:56:16,1011.773758,-6.790456832,39.22051037,
15:56:17,1011.779175,-6.790346737,39.22055394,
15:56:18,1011.779175,-6.790252889,39.22061736,
15:56:19,1011.769791,-6.790150138,39.22067648,
15:56:20,1011.754227,-6.790051286,39.22074094,
15:56:21,1011.7379,-6.789947292,39.22082876,
15:56:22,1011.721573,-6.789861998,39.22089288,
15:56:23,1011.702271,-6.789768674,39.22096187,
15:56:24,1011.684647,-6.789676094,39.22103199,
15:56:25,1011.676636,-6.789606327,39.22108813,
15:56:26,1011.663437,-6.78960131,39.22112321,
15:56:27,1011.64093,-6.78960085,39.22113162,
15:56:28,1011.62384,-6.789635965,39.22112122,
15:56:29,1011.610718,-6.789647662,39.2210919,
15:56:30,1011.594772,-6.789628302,39.22110964,
15:56:31,1011.587067,-6.789589092,39.22114557,
15:56:32,1011.587067,-6.789569441,39.22116358,
15:56:33,1011.587067,-6.789560171,39.22117124,
15:56:34,1011.585846,-6.789541802,39.22118761,
15:56:35,1011.585312,-6.789519211,39.22120779,
15:56:36,1011.584473,-6.78949639,39.22122842,
15:56:37,1011.58226,-6.789478918,39.22124422,
15:56:38,1011.58226,-6.789470096,39.2212522,
15:56:39,1011.583939,-6.789484128,39.22123951,
15:56:40,1011.585159,-6.789484258,39.22123939,
15:56:41,1011.588821,-6.789507348,39.2212183,
15:56:42,1011.592255,-6.78950707,39.22121877,
15:56:43,1011.594543,-6.789506372,39.2212194,
15:56:44,1011.59584,-6.789504285,39.22122128,
15:56:45,1011.59584,-6.789501376,39.22122392,
15:56:46,1011.593094,-6.789501376,39.22122392,
15:56:47,1011.590805,-6.789515781,39.22121089,
15:56:48,1011.590271,-6.789519821,39.22122945,
15:56:49,1011.58783,-6.789501161,39.22122411,
15:56:50,1011.58577,-6.789494422,39.2212302,
15:56:51,1011.585693,-6.789485406,39.22123835,
15:56:52,1011.585617,-6.789494047,39.22123054,
15:56:53,1011.585617,-6.789493114,39.22123139,
15:56:54,1011.58699,-6.789509741,39.22123689,
15:56:55,1011.589966,-6.78951109,39.22123394,
15:56:56,1011.592789,-6.789515206,39.22122822,
15:56:57,1011.594696,-6.789515164,39.22122829,
15:56:58,1011.596298,-6.789520706,39.22122254,
15:56:59,1011.596451,-6.78951147,39.22123207,
15:57:00,1011.596298,-6.789511575,39.22123187,
15:57:01,1011.596069,-6.789511575,39.22123187,
15:57:02,1011.591263,-6.789511575,39.22123187,
15:57:03,1011.58638,-6.789511575,39.22123187,
15:57:04,1011.584625,-6.789511575,39.22123187,
15:57:05,1011.580734,-6.789511575,39.22123187,
